time,angle,velocity,acceleration,state
0,0,0,0,1
0.005,0,0.002356097596773,0.47121951935462,1
0.01,1.17804879838655E-05,0.007067711458492,0.942322772343849,1
0.015,4.71190452763272E-05,0.014133679064939,1.41319352128928,1
0.02,0.000117787440601,0.023552256994336,1.8837155858794,1
0.025,0.000235548725573,0.035321121353513,2.35377287183535,1
0.03,0.00041215433234,0.04943736835129,2.82324939955543,1
0.035,0.000659341174097,0.065897515014947,3.29202933273136,1
0.04,0.000988828749171,0.084697500049592,3.75999700692913,1
0.045,0.001412316249419,0.105832684840229,4.22703695812748,1
0.05,0.001941479673621,0.129297854596264,4.69303395120693,1
0.055,0.002587968946602,0.155087219638176,5.15787300838228,1
0.06,0.003363405044793,0.183194416826034,5.62143943757174,1
0.065,0.004279377128923,0.213612511129511,6.08361886069537,1
0.07,0.00534743968457,0.246333997338992,6.54429724189628,1
0.075,0.006579109671265,0.281350801917378,7.00336091567716,1
0.08,0.007985863680852,0.318654284992106,7.46069661494564,1
0.085,0.009579135105813,0.358235242486912,7.91619149896119,1
0.09,0.011370311318248,0.400083908392797,8.36973318117688,1
0.095,0.013370730860211,0.444189957177642,8.82120975696912,1
0.1,0.0155916806461,0.490542506333884,9.27050983124842,1
0.105,0.018044393177769,0.539130119063607,9.71752254594448,1
0.11,0.020740043773087,0.5899408071004,10.1621376073587,1
0.115,0.023689747808589,0.642962033667289,10.6042453133777,1
0.12,0.026904557976926,0.698180716569991,11.0437365805403,1
0.125,0.030395461559776,0.755583231424754,11.4805029709527,1
0.13,0.034173377716899,0.815155415019971,11.9144367190434,1
0.135,0.038249154791999,0.876882568810738,12.3454307581533,1
0.14,0.042633567636053,0.940749462545499,12.7733787469522,1
0.145,0.04733731494878,1.00674033802389,13.1981750956775,1
0.15,0.0523710166389,1.07483891298482,13.6197149921864,1
0.155,0.057745211203824,1.1450283851239,14.0378944278172,1
0.16,0.063470353129443,1.21729143623916,14.4526102230515,1
0.165,0.069556810310639,1.29161023650402,14.8637600529722,1
0.17,0.076014861493159,1.36796644886658,15.2712424725111,1
0.175,0.082854693737492,1.44634123357397,15.6749569414785,1
0.18,0.090086399905362,1.52671525282082,16.0748038493699,1
0.185,0.097719976169466,1.60906867552054,16.470684539944,1
0.19,0.105765319547069,1.69338118219836,16.8625013355639,1
0.195,0.114232225458061,1.77963197000485,17.2501575612984,1
0.2,0.123130385308085,1.86779975784872,17.6335575687742,1
0.205,0.132469384097328,1.9578627916476,18.0126067597765,1
0.21,0.142258698055566,2.04979884969555,18.3872116095893,1
0.215,0.152507692304044,2.14358524814591,18.7572796900712,1
0.22,0.163225618544774,2.23919884660821,19.1227196924607,1
0.225,0.174421612777815,2.33661605385774,19.4834414499055,1
0.23,0.186104693047103,2.43581283365629,19.8393559597096,1
0.235,0.198283757215385,2.53676471068275,20.1903754052932,1
0.24,0.210967580768799,2.63944677657206,20.5364131778607,1
0.245,0.224164814651659,2.7438336960609,20.8773838977694,1
0.25,0.237883983131963,2.84989971323888,21.2132034355964,1
0.255,0.252133481698158,2.95761865790336,21.5437889328957,1
0.26,0.266921574987675,3.06696395201658,21.8690588226424,1
0.265,0.282256394747758,3.17790861626337,22.1889328493583,1
0.27,0.298145937829074,3.29042527670794,22.5033320889138,1
0.275,0.314598064212614,3.40448617154794,22.8121789680009,1
0.28,0.331620495070354,3.52006315796431,23.1153972832737,1
0.285,0.349220810860175,3.63712771906506,23.4129122201499,1
0.29,0.367406449455501,3.75565097092141,23.7046503712707,1
0.295,0.386184704310108,3.87560366969448,23.9905397546127,1
0.3,0.40556272265858,3.99695621885072,24.2705098312484,1
0.305,0.425547503752834,4.11967867646447,24.5444915227507,1
0.31,0.446145897135156,4.24374076260566,24.8124172282369,1
0.315,0.467364600948184,4.3691118668109,25.0742208410481,1
0.32,0.489210160282239,4.4957610556362,25.3298377650605,1
0.325,0.51168896556042,4.62365708028931,25.5792049306228,1
0.33,0.534807250961866,4.7527683843399,25.8222608101183,1
0.335,0.558571092883566,4.88306311150563,26.0589454331457,1
0.34,0.582986408441094,5.01450911351221,26.2892004013159,1
0.345,0.608058954008655,5.14707395802552,26.5129689026608,1
0.35,0.633794323798783,5.28072493665377,26.730195725651,1
0.355,0.660197948482051,5.41542907301786,26.9408272728185,1
0.36,0.687275093847141,5.55115313088777,27.1448115739806,1
0.365,0.71503085950158,5.68786362238309,27.3420982990634,1
0.37,0.743470177613495,5.82552681623568,27.5326387705194,1
0.375,0.772597811694673,5.96410874611238,27.7163859753386,1
0.38,0.802418355425235,6.10357521899561,27.8932945766476,1
0.385,0.832936231520213,6.24389182362009,28.063320924896,1
0.39,0.864155690638314,6.38502393896323,28.2264230686268,1
0.395,0.89608081033313,6.52693674278736,28.3825607648264,1
0.4,0.928715494047067,6.66959522023163,28.5316954888546,1
0.405,0.962063470148225,6.81296417245138,28.6737904439499,1
0.41,0.996128291010482,6.95700822530292,28.8088105703083,1
0.415,1.030913332137,7.10169183807159,28.9367225537339,1
0.42,1.06642179132735,7.24697931224089,29.0574948338589,1
0.425,1.10265668788856,7.39283480030054,29.1710976119303,1
0.43,1.13962086189006,7.53922231459135,29.2775028581624,1
0.435,1.17731697346302,7.68610573618462,29.376684318653,1
0.44,1.21574750214394,7.83344882379392,29.4686175218607,1
0.445,1.25491474626291,7.98121522271714,29.5532797846432,1
0.45,1.2948208223765,8.12936847380641,29.6306502178541,1
0.455,1.33546766474553,8.27787202246389,29.7007097314967,1
0.46,1.37685702485785,8.42668922766106,29.7634410394343,1
